  E*/MeV   191At     192At     193At     BF=0.63     BF=0.63     196At     197At  
    52.0 0.000E+00 0.000E+00 0.907E-06 0.132E-02 0.390E-03 0.694E-05 0.000E+00
    53.0 0.000E+00 0.000E+00 0.236E-05 0.135E-02 0.257E-03 0.398E-05 0.000E+00
    54.0 0.000E+00 0.000E+00 0.540E-05 0.130E-02 0.167E-03 0.225E-05 0.000E+00
    55.0 0.000E+00 0.000E+00 0.109E-04 0.120E-02 0.108E-03 0.125E-05 0.000E+00
    56.0 0.000E+00 0.000E+00 0.199E-04 0.107E-02 0.695E-04 0.668E-06 0.000E+00
    57.0 0.000E+00 0.000E+00 0.326E-04 0.924E-03 0.444E-04 0.338E-06 0.000E+00
    58.0 0.000E+00 0.102E-09 0.487E-04 0.772E-03 0.282E-04 0.141E-06 0.000E+00
    60.0 0.000E+00 0.136E-08 0.853E-04 0.500E-03 0.111E-04 0.000E+00 0.000E+00
    60.0 0.000E+00 0.136E-08 0.853E-04 0.500E-03 0.111E-04 0.000E+00 0.000E+00
    61.0 0.000E+00 0.360E-08 0.102E-03 0.390E-03 0.695E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.884E-08 0.114E-03 0.299E-03 0.431E-05 0.000E+00 0.000E+00
    63.0 0.000E+00 0.212E-07 0.122E-03 0.226E-03 0.265E-05 0.000E+00 0.000E+00
    64.0 0.000E+00 0.502E-07 0.123E-03 0.168E-03 0.162E-05 0.000E+00 0.000E+00
    65.0 0.000E+00 0.115E-06 0.120E-03 0.123E-03 0.977E-06 0.000E+00 0.000E+00
    66.0 0.000E+00 0.246E-06 0.113E-03 0.897E-04 0.576E-06 0.000E+00 0.000E+00
    67.0 0.000E+00 0.493E-06 0.102E-03 0.645E-04 0.332E-06 0.000E+00 0.000E+00
    
    
  E*/MeV   191At     192At     193At     BF=0.66     BF=0.66     196At     197At 
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.123E-09 0.110E-05 0.326E-09
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.860E-08 0.311E-05 0.534E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.212E-06 0.832E-05 0.573E-09
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.272E-05 0.208E-04 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.223E-04 0.462E-04 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.120E-03 0.823E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.416E-03 0.113E-03 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.967E-03 0.124E-03 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.159E-02 0.117E-03 0.000E+00
